dataset,method,epoch,homomorphic_seconds,refresh_seconds,metric_decryption_seconds,paired_simulated_refresh_seconds,seconds_per_epoch,accuracy,loss,max_plaintext_model_error,refreshed,level_before_refresh,level_after_refresh,optimizer,momentum,sigmoid,nag_packing
framingham,real_bootstrapping,8,3.569486887,6.40506853,0.021854255,0.092209153,9.974555417,0.6856287425,0.6864240877,3.885624109e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,9,4.052523127,6.679650996,0.022342144,0.092261045,10.73217412,0.6856287425,0.6856068523,9.141102648e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,10,3.967989061,6.45851085,0.026126485,0.083991014,10.42649991,0.6886227545,0.6847977727,3.882004648e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,11,4.121082081,7.126837661,0.025113286,0.087184395,11.24791974,0.6886227545,0.6839960103,8.665894059e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,12,2.773063684,7.213458587,0.029835914,0.106605173,9.986522271,0.6886227545,0.6832016913,3.949898246e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,13,4.367915927,6.90153332,0.022134878,0.087762415,11.26944925,0.6886227545,0.6824149123,6.281152029e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,14,4.166142281,7.484813255,0.026415616,0.086292404,11.65095554,0.6886227545,0.6816354316,2.41992722e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,15,4.422316294,12.31228839,0.029324055,0.083441865,16.73460469,0.6886227545,0.6808634129,8.998676558e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,16,4.118455536,12.61851698,0.03163424,0.111441677,16.73697252,0.6886227545,0.6800984786,5.835774079e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,17,4.967236052,10.63206182,0.036177678,0.098416527,15.59929787,0.6886227545,0.6793406165,4.759930042e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,18,3.767339215,9.501302876,0.029656558,0.103664706,13.26864209,0.6886227545,0.6785899077,5.160989652e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,19,4.125077691,8.608173808,0.02355295,0.101976706,12.7332515,0.6856287425,0.6778464002,8.858479197e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,20,4.010863692,7.924448732,0.026640555,0.092012165,11.93531242,0.6856287425,0.6771098372,4.351915773e-07,1,27,19,nag,0.1,cubic,separate
